"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","197606","403.688","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197607","333.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197608","305.673","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197609","336.311","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197610","484.198","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197611","827.672","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197612","1204.077","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197613","8391.829","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197701","1488.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197702","1244.153","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197703","869.111","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197704","630.341","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197705","462.08","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197706","365.119","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197707","318.04","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197708","311.161","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197709","330.422","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197710","470.296","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197711","647.249","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197712","1058.283","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197713","8194.297","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197801","1232.305","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197802","1236.943","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197803","1038.126","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","197804","675.086","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
