"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLRCBUS","197611","5.964","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197612","8.916","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197613","58.885","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197701","7.893","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197702","5.301","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197703","4.665","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197704","4.819","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197705","3.754","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197706","3.889","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197707","2.926","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197708","3.632","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197709","3.427","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197710","4.402","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197711","5.885","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197712","6.867","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197713","57.461","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197801","5.291","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197802","5.431","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197803","4.227","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197804","3.576","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197805","3.224","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197806","3.121","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197807","2.826","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197808","2.883","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197809","3.297","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197810","4.759","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197811","5.059","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197812","5.451","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197813","49.145","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197901","5.743","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197902","3.479","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197903","2.74","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197904","2.46","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197905","2.224","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197906","2.282","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197907","1.98","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197908","1.873","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197909","2.487","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197910","3.47","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197911","4.15","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197912","4.426","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","197913","37.313","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198001","4.09","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198002","3.579","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198003","2.552","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198004","2.736","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198005","1.652","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198006","1.307","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198007","1.619","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198008","1.529","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198009","2.031","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198010","2.769","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198011","2.93","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198012","3.749","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198013","30.544","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198101","3.621","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198102","2.88","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198103","1.917","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198104","2.273","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198105","1.901","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198106","1.214","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198107","1.739","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198108","1.857","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198109","2.375","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198110","2.532","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198111","3.443","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198112","4.272","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198113","30.02","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198201","3.831","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198202","2.674","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198203","2.172","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198204","2.712","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198205","1.802","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198206","1.401","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198207","2.423","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198208","2.585","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198209","2.458","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198210","2.546","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198211","3.26","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198212","3.928","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198213","31.791","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198301","3.221","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198302","2.817","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198303","2.008","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198304","2.795","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198305","1.687","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198306","1.337","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198307","2.183","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198308","2.063","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198309","2.74","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198310","2.912","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198311","3.079","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198312","3.943","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198313","30.785","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198401","4.538","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198402","3.971","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198403","2.83","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198404","4.028","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198405","2.432","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198406","1.923","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198407","3.016","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198408","2.848","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198409","3.784","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198410","3.007","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198411","3.181","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198412","4.07","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198413","39.627","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198501","4.135","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198502","3.618","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198503","2.579","1","Coal Consumed by the Residential Sector","Trillion Btu"
