yrmonth,sector,energy_total
1979 February,industrial,2519.294
1979 March,industrial,2629.048
1979 April,industrial,2485.868
1979 May,industrial,2725.521
1979 June,industrial,2693.357
1979 July,industrial,2743.715
1979 August,industrial,2826.36
1979 September,industrial,2680.954
1979 October,industrial,2955.309
1979 November,industrial,2896.468
1979 December,industrial,2941.377
1980 January,industrial,2872.732
1980 February,industrial,2579.441
1980 March,industrial,2661.542
1980 April,industrial,2397.265
1980 May,industrial,2508.231
1980 June,industrial,2442.508
1980 July,industrial,2448.813
1980 August,industrial,2443.505
1980 September,industrial,2539.218
1980 October,industrial,2761.089
1980 November,industrial,2703.787
1980 December,industrial,2840.22
1981 January,industrial,2647.501
1981 February,industrial,2221.415
1981 March,industrial,2525.237
1981 April,industrial,2332.308
1981 May,industrial,2484.495
1981 June,industrial,2460.838
1981 July,industrial,2519.769
1981 August,industrial,2524.87
1981 September,industrial,2476.361
1981 October,industrial,2611.151
1981 November,industrial,2476.448
1981 December,industrial,2637.961
1982 January,industrial,2536.744
1982 February,industrial,2096.317
1982 March,industrial,2289.802
1982 April,industrial,2139.569
1982 May,industrial,2131.081
1982 June,industrial,2157.866
1982 July,industrial,2218.42
1982 August,industrial,2245.315
1982 September,industrial,2137.793
1982 October,industrial,2308.236
1982 November,industrial,2290.685
1982 December,industrial,2194.354
1983 January,industrial,2217.535
1983 February,industrial,2035.055
1983 March,industrial,2180.527
1983 April,industrial,2093.668
1983 May,industrial,2170.862
1983 June,industrial,2180.844
1983 July,industrial,2241.158
1983 August,industrial,2299.768
1983 September,industrial,2195.847
1983 October,industrial,2251.798
1983 November,industrial,2279.211
1983 December,industrial,2335.247
1984 January,industrial,2549.126
1984 February,industrial,2330.712
1984 March,industrial,2467.262
1984 April,industrial,2365.474
1984 May,industrial,2425.582
1984 June,industrial,2379.7
1984 July,industrial,2387.199
1984 August,industrial,2459.807
1984 September,industrial,2263.608
1984 October,industrial,2384.207
1984 November,industrial,2303.732
1984 December,industrial,2323.558
1985 January,industrial,2492.344
1985 February,industrial,2252.338
1985 March,industrial,2313.6
1985 April,industrial,2279.844
1985 May,industrial,2352.594
1985 June,industrial,2290.746
1985 July,industrial,2363.149
1985 August,industrial,2382.864
1985 September,industrial,2223.804
1985 October,industrial,2350.279
1985 November,industrial,2254.287
1985 December,industrial,2438.238
1986 January,industrial,2476.362
1986 February,industrial,2267.228
1986 March,industrial,2390.148
1986 April,industrial,2259.623
1986 May,industrial,2341.657
1986 June,industrial,2260.486
1986 July,industrial,2262.029
1986 August,industrial,2249.781
1986 September,industrial,2187.73
1986 October,industrial,2252.473
1986 November,industrial,2190.943
1986 December,industrial,2316.261
1987 January,industrial,2527.471
1987 February,industrial,2272.805
1987 March,industrial,2309.579
1987 April,industrial,2308.712
1987 May,industrial,2330.235
1987 June,industrial,2387
1987 July,industrial,2454.536
1987 August,industrial,2416.288
1987 September,industrial,2346.9
1987 October,industrial,2432.125
1987 November,industrial,2358.263
1987 December,industrial,2525.481
1988 January,industrial,2489.069
1988 February,industrial,2433.577
1988 March,industrial,2577.173
1988 April,industrial,2340.263
1988 May,industrial,2460.277
1988 June,industrial,2486.443
1988 July,industrial,2496.371
1988 August,industrial,2624.767
1988 September,industrial,2452.075
1988 October,industrial,2575.737
1988 November,industrial,2499.086
1988 December,industrial,2604.956
1989 January,industrial,2542.596
1989 February,industrial,2413.624
1989 March,industrial,2583.572
1989 April,industrial,2434.969
1989 May,industrial,2510.372
1989 June,industrial,2534.921
1989 July,industrial,2543.178
1989 August,industrial,2635.781
1989 September,industrial,2488.644
1989 October,industrial,2628.6
1989 November,industrial,2567.561
1989 December,industrial,2671.274
1990 January,industrial,2572.003
1990 February,industrial,2383.367
1990 March,industrial,2582.683
1990 April,industrial,2536.437
1990 May,industrial,2589.204
1990 June,industrial,2564.486
1990 July,industrial,2621.633
1990 August,industrial,2764.783
1990 September,industrial,2573.037
1990 October,industrial,2677.073
1990 November,industrial,2525.213
1990 December,industrial,2588.002
1991 January,industrial,2659.793
1991 February,industrial,2289.443
1991 March,industrial,2435.224
1991 April,industrial,2377.044
1991 May,industrial,2490.818
1991 June,industrial,2485.739
1991 July,industrial,2608.715
1991 August,industrial,2675.022
1991 September,industrial,2625.736
1991 October,industrial,2702.426
1991 November,industrial,2599.369
1991 December,industrial,2634.535
1992 January,industrial,2701.259
1992 February,industrial,2481.382
1992 March,industrial,2634.634
1992 April,industrial,2534.947
1992 May,industrial,2584.175
1992 June,industrial,2652.101
1992 July,industrial,2749.268
1992 August,industrial,2729.377
1992 September,industrial,2628.532
1992 October,industrial,2731.518
1992 November,industrial,2688.271
1992 December,industrial,2716.755
1993 January,industrial,2612.605
1993 February,industrial,2512.613
1993 March,industrial,2712.325
1993 April,industrial,2512.126
1993 May,industrial,2508.499
1993 June,industrial,2615.492
1993 July,industrial,2692.029
1993 August,industrial,2740.06
1993 September,industrial,2639.015
1993 October,industrial,2788.078
1993 November,industrial,2751.496
1993 December,industrial,2747.464
1994 January,industrial,2847.363
1994 February,industrial,2601.126
1994 March,industrial,2693.496
1994 April,industrial,2605.065
1994 May,industrial,2634.965
1994 June,industrial,2727.478
1994 July,industrial,2752.566
1994 August,industrial,2833.202
1994 September,industrial,2728.747
1994 October,industrial,2822.559
1994 November,industrial,2720.036
1994 December,industrial,2803.062
1995 January,industrial,2741.513
1995 February,industrial,2567.469
1995 March,industrial,2715.149
1995 April,industrial,2665.036
1995 May,industrial,2749.631
1995 June,industrial,2740.934
1995 July,industrial,2837.511
1995 August,industrial,2935.895
1995 September,industrial,2762.572
1995 October,industrial,2820.734
1995 November,industrial,2754.206
1995 December,industrial,2823.207
1996 January,industrial,2841.784
1996 February,industrial,2652.228
1996 March,industrial,2836.158
1996 April,industrial,2655.138
1996 May,industrial,2812.144
1996 June,industrial,2837.419
1996 July,industrial,2873.505
1996 August,industrial,2954.763
1996 September,industrial,2767.047
1996 October,industrial,3019.058
1996 November,industrial,2869.454
1996 December,industrial,2847.406
1997 January,industrial,2903.468
1997 February,industrial,2615.651
1997 March,industrial,2800.973
1997 April,industrial,2785.337
1997 May,industrial,2846.63
1997 June,industrial,2833.337
1997 July,industrial,2941.835
1997 August,industrial,2959.296
1997 September,industrial,2843.932
1997 October,industrial,2972.618
1997 November,industrial,2827.039
1997 December,industrial,2929.3
1998 January,industrial,2853.745
1998 February,industrial,2601.825
1998 March,industrial,2811.541
1998 April,industrial,2732.454
1998 May,industrial,2852.432
1998 June,industrial,2800.062
1998 July,industrial,2930.696
1998 August,industrial,2995.103
1998 September,industrial,2828.23
1998 October,industrial,2893.22
1998 November,industrial,2764.298
1998 December,industrial,2932.3
1999 January,industrial,2800.9
1999 February,industrial,2567.254
1999 March,industrial,2773.393
1999 April,industrial,2743.744
1999 May,industrial,2808.661
1999 June,industrial,2837.447
1999 July,industrial,2919.431
1999 August,industrial,3006.254
1999 September,industrial,2881.28
1999 October,industrial,2893.238
1999 November,industrial,2813.226
1999 December,industrial,2879.864
2000 January,industrial,2809.817
2000 February,industrial,2721.082
2000 March,industrial,2846.074
2000 April,industrial,2701.517
2000 May,industrial,2950.579
2000 June,industrial,2878.523
2000 July,industrial,2845.303
2000 August,industrial,3013.895
2000 September,industrial,2797.862
2000 October,industrial,2839.314
2000 November,industrial,2743.588
2000 December,industrial,2797.535
2001 January,industrial,2744.927
2001 February,industrial,2543.26
2001 March,industrial,2752.104
2001 April,industrial,2658.055
2001 May,industrial,2722.648
2001 June,industrial,2639.523
2001 July,industrial,2693.796
2001 August,industrial,2787.506
2001 September,industrial,2586.645
2001 October,industrial,2774.942
2001 November,industrial,2635.511
2001 December,industrial,2611.725
2002 January,industrial,2682.902
2002 February,industrial,2456.929
2002 March,industrial,2666.041
2002 April,industrial,2630.032
2002 May,industrial,2711.735
2002 June,industrial,2680.225
2002 July,industrial,2807.833
2002 August,industrial,2784.104
2002 September,industrial,2631.682
2002 October,industrial,2684.951
2002 November,industrial,2653.432
2002 December,industrial,2619.591
2003 January,industrial,2693.154
2003 February,industrial,2538.882
2003 March,industrial,2618.955
2003 April,industrial,2600.514
2003 May,industrial,2615.154
2003 June,industrial,2591.902
2003 July,industrial,2738.135
2003 August,industrial,2767.197
2003 September,industrial,2616.382
2003 October,industrial,2722.973
2003 November,industrial,2639.701
2003 December,industrial,2736.527
2004 January,industrial,2706.32
2004 February,industrial,2630.767
2004 March,industrial,2718.652
2004 April,industrial,2667.679
2004 May,industrial,2788.227
2004 June,industrial,2722.825
2004 July,industrial,2803.807
2004 August,industrial,2832.941
2004 September,industrial,2700.777
2004 October,industrial,2772.846
2004 November,industrial,2729.552
2004 December,industrial,2788.115
2005 January,industrial,2729.308
2005 February,industrial,2518.464
2005 March,industrial,2739.257
2005 April,industrial,2558.255
2005 May,industrial,2704.355
2005 June,industrial,2720.786
2005 July,industrial,2686.59
2005 August,industrial,2775.635
2005 September,industrial,2515.097
2005 October,industrial,2558.466
2005 November,industrial,2605.755
2005 December,industrial,2685.193
2006 January,industrial,2636.391
2006 February,industrial,2460.618
2006 March,industrial,2649.606
2006 April,industrial,2508.334
2006 May,industrial,2665.62
2006 June,industrial,2672.733
2006 July,industrial,2678.887
2006 August,industrial,2790.453
2006 September,industrial,2646.054
2006 October,industrial,2719.317
2006 November,industrial,2638.564
2006 December,industrial,2637.694
2007 January,industrial,2709.959
2007 February,industrial,2519.217
2007 March,industrial,2627.452
2007 April,industrial,2578.277
2007 May,industrial,2687.776
2007 June,industrial,2630.134
2007 July,industrial,2669.973
2007 August,industrial,2757.03
2007 September,industrial,2597.87
2007 October,industrial,2678.73
2007 November,industrial,2617.646
2007 December,industrial,2693.948
2008 January,industrial,2739.246
2008 February,industrial,2545.98
2008 March,industrial,2616.795
2008 April,industrial,2540.645
2008 May,industrial,2634.966
2008 June,industrial,2577.508
2008 July,industrial,2625.938
2008 August,industrial,2587.885
2008 September,industrial,2352.687
2008 October,industrial,2618.211
2008 November,industrial,2463.348
2008 December,industrial,2376.539
2009 January,industrial,2406.648
2009 February,industrial,2183.838
2009 March,industrial,2296.969
2009 April,industrial,2177.616
2009 May,industrial,2240.717
2009 June,industrial,2275.513
2009 July,industrial,2312.884
2009 August,industrial,2406.323
2009 September,industrial,2325.062
2009 October,industrial,2369.392
2009 November,industrial,2339.235
2009 December,industrial,2441.231
2010 January,industrial,2436.381
2010 February,industrial,2314.376
2010 March,industrial,2512.227
2010 April,industrial,2405.233
2010 May,industrial,2505.409
2010 June,industrial,2510.578
2010 July,industrial,2540.955
2010 August,industrial,2645.689
2010 September,industrial,2520.179
2010 October,industrial,2465.782
2010 November,industrial,2475.919
2010 December,industrial,2620.166
2011 January,industrial,2585.023
2011 February,industrial,2311.884
2011 March,industrial,2576.291
2011 April,industrial,2402.291
2011 May,industrial,2469.321
2011 June,industrial,2482.403
2011 July,industrial,2551.936
2011 August,industrial,2639.418
2011 September,industrial,2479.917
2011 October,industrial,2544.226
2011 November,industrial,2547.095
2011 December,industrial,2525.797
2012 January,industrial,2574.664
2012 February,industrial,2448.751
2012 March,industrial,2476.11
2012 April,industrial,2394.513
2012 May,industrial,2540.232
2012 June,industrial,2496.363
2012 July,industrial,2575.006
2012 August,industrial,2610.877
2012 September,industrial,2436.06
2012 October,industrial,2576.652
2012 November,industrial,2522.795
2012 December,industrial,2568.557
2013 January,industrial,2616.565
2013 February,industrial,2373.951
2013 March,industrial,2510.415
2013 April,industrial,2420.268
2013 May,industrial,2562.432
2013 June,industrial,2519.937
2013 July,industrial,2631.397
2013 August,industrial,2619.451
2013 September,industrial,2563.104
2013 October,industrial,2628.648
2013 November,industrial,2635.694
2013 December,industrial,2673.44
2014 January,industrial,2694.669
2014 February,industrial,2395.215
2014 March,industrial,2519.4
2014 April,industrial,2475.639
2014 May,industrial,2547.799
2014 June,industrial,2528.276
2014 July,industrial,2647.983
2014 August,industrial,2672.452
2014 September,industrial,2572.336
2014 October,industrial,2631.172
2014 November,industrial,2593.332
2014 December,industrial,2635.5
2015 January,industrial,2657.266
2015 February,industrial,2442.799
2015 March,industrial,2531.36
2015 April,industrial,2459.453
2015 May,industrial,2578.948
2015 June,industrial,2613.965
2015 July,industrial,2692.936
2015 August,industrial,2668.933
2015 September,industrial,2507.914
2015 October,industrial,2494.449
2015 November,industrial,2431.016
2015 December,industrial,2525.755
2016 January,industrial,2615.191
2016 February,industrial,2480.963
2016 March,industrial,2519.131
2016 April,industrial,2407.557
2016 May,industrial,2484.205
2016 June,industrial,2518.597
2016 July,industrial,2601.184
2016 August,industrial,2690.36
2016 September,industrial,2502.767
2016 October,industrial,2545.988
2016 November,industrial,2500.704
2016 December,industrial,2639.698
2017 January,industrial,2608.714
2017 February,industrial,2322.596
2017 March,industrial,2592.021
2017 April,industrial,2448.763
2017 May,industrial,2558.864
2017 June,industrial,2567.108
2017 July,industrial,2667.035
2017 August,industrial,2651.725
2017 September,industrial,2509.995
2017 October,industrial,2582.986
2017 November,industrial,2624.136
2017 December,industrial,2698.95
2018 January,industrial,2725.674
2018 February,industrial,2417.237
2018 March,industrial,2675.908
2018 April,industrial,2489.63
2018 May,industrial,2659.549
2018 June,industrial,2620.845
2018 July,industrial,2736.058
2018 August,industrial,2817.683
2018 September,industrial,2613.474
2018 October,industrial,2718.988
2018 November,industrial,2668.978
2018 December,industrial,2661.419
2019 January,industrial,2801.843
2019 February,industrial,2439.409
2019 March,industrial,2626.309
2019 April,industrial,2516.965
2019 May,industrial,2644.656
2019 June,industrial,2582.13
2019 July,industrial,2718.911
2019 August,industrial,2753.911
2019 September,industrial,2611.843
2019 October,industrial,2656.394
2019 November,industrial,2659.143
2019 December,industrial,2696.73
2020 January,industrial,2713.355
2020 February,industrial,2557.285
2020 March,industrial,2615.803
2020 April,industrial,2214.402
2020 May,industrial,2319.929
2020 June,industrial,2368.616
2020 July,industrial,2547.29
2020 August,industrial,2611.756
2020 September,industrial,2466.342
2020 October,industrial,2579.348
2020 November,industrial,2581.414
2020 December,industrial,2701.141
2021 January,industrial,2708.654
2021 February,industrial,2258.22
2021 March,industrial,2520.674
2021 April,industrial,2541.165
2021 May,industrial,2635.553
2021 June,industrial,2647.29
2021 July,industrial,2712.433
2021 August,industrial,2760.128
2021 September,industrial,2582.021
2021 October,industrial,2658.772
2021 November,industrial,2639.58
2021 December,industrial,2717.93
2022 January,industrial,2745.456
2022 February,industrial,2426.298
2022 March,industrial,2628.077
2022 April,industrial,2481.822
2022 May,industrial,2557.64
2022 June,industrial,2600.48
2022 July,industrial,2684.409
2022 August,industrial,2690.868
2022 September,industrial,2544.281
2022 October,industrial,2585.783
2022 November,industrial,2586.935
2022 December,industrial,2536.379
2023 January,industrial,2552.573
2023 February,industrial,2317.541
2023 March,industrial,2583.332
2023 April,industrial,2488.458
2023 May,industrial,2591.236
2023 June,industrial,2568.34
2023 July,industrial,2645.737
2023 August,industrial,2734.572
2023 September,industrial,2551.653
